what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603667771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603676115
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1311603676124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603679987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603681164
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1311603681171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1311603681171
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603686192
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603686232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311603733131
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311603734313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603736314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603739852
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311603740258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603742011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603884395
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311603884415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1311603886514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603886834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603896071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603896088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603896577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311603896581
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603947371
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311603947435
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603947435
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603949845
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603949884
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311603951638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1311603954654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603960082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603961349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311603961406
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603963320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311603963360
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1311603965465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311603970552
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311603972888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603975002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603977198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603977623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603979109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311603979533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311603999866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311604022939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311604024729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311604026834
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311604153921
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604153983
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604154000
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604154000
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311604154844
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604154844
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604161242
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311604161267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311604315530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311607571810
